"TID","NL"
"TID_MORTAR_ULTI","GROTE BOEMTON"
"TID_MORTAR_ULTI_DESC","Een grote bim-bam-boemton van dynamiet blaast beschutting op. Overlevende vijanden worden teruggeslagen bij impact."
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo is geboren om in de schijnwerpers te staan. Er is geen publiek dat hij niet voor zich kan winnen, behalve dan wellicht zijn collega-performers..."
"TID_LUCHADOR_WEAPON","FURIEUZE VUISTEN"
"TID_LUCHADOR_WEAPON_DESC","El Primo vecht met vier vurige vuisten. Geen broodje aap, maar een broodje chilipepers met knokkels."
"TID_LUCHADOR_ULTI","VLIEGENDE ELLEBOOGSTOOT"
"TID_LUCHADOR_ULTI_DESC","Hij springt hoog de lucht in en komt met zijn intergalactische elleboogstoot neer. Alle omstanders worden omvergeslagen en beschutting wordt vernietigd."
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico is een echte ruimtepremiejager die de meest gezochte criminelen in het heelal opspoort. Hij is zeker geen kauwgumbalmachine die doet alsof hij cool is."
"TID_TRICKSHOT_DUDE_WEAPON","STUITERKOGELS"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","De kogels van Rico kaatsen van de muren, waardoor ze verder komen. Ze kunnen vijanden achter obstakels raken."
"TID_TRICKSHOT_DUDE_ULTI","TRICK SHOT"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico vuurt een reeks kogels af die door vijanden heen gaan en van de muren kaatsen, waardoor hun bereik groter wordt."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","De meeste mensen verwarren Spike met Colt en denken dat hij de schattige assistent van Shelly op de Ranger Ranch is. Niemand kan de diepte van dit trauma bevroeden."
"TID_CACTUS_WEAPON","NAALDGRANAAT"
"TID_CACTUS_WEAPON_DESC","Spike vuurt een kleine cactus af die explodeert waardoor cactusnaalden in het rond vliegen."
"TID_CACTUS_ULTI","BLIJF PLAKKEN!"
"TID_CACTUS_ULTI_DESC","Spike gooit een netelige granaat. Vijanden in het ontploffingsgebied lopen schade op en worden vertraagd."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley is een robotbarman die ontworpen is om drankjes te mixen en met klanten te kletsen. Hij is erop gebrand om zijn bar spic en span te houden, ten nadele van iedereen die er een troep van maakt."
"TID_BARKEEP_WEAPON","ONVERDUND"
"TID_BARKEEP_WEAPON_DESC","Barley gooit een fles die op de grond breekt. Vijanden lopen schade op door de spetters en nog meer schade naarmate de tijd verstrijkt als ze in de plas blijven staan."
"TID_BARKEEP_ULTI","LAATSTE RONDJE"
"TID_BARKEEP_ULTI_DESC","Barley gooit ontvlambare flessen en zet een enorm gebied in vuur en vlam. Rondje van het huis."
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Jessie is een wonderkind dat wapens en gadgets maakt van de onderdelen die ze op de schroothoop vindt. Misschien zal haar moeder Pam ooit inzien dat ze prima voor zichzelf kan zorgen!"
"TID_MECHANIC_WEAPON","SCHOKGEWEER"
"TID_MECHANIC_WEAPON_DESC","Jessie vuurt een energiebal af die tot wel drie extra doelwitten kan raken door naar nabije vijanden te stuiteren. De energiebal richt na elke stuit <damageDecayChain> minder schade aan."
"TID_MECHANIC_ULTI","SCHROOTJE"
"TID_MECHANIC_ULTI_DESC","Jessie zet een geschuttoren in die automatisch op vijanden schiet. Gemaakt van 100% gerecycleerd materiaal."
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita is een meedogenloos kind dat nooit een gevecht uit de weg gaat! De teddybeer op haar hoofd dient als waarschuwing voor wat je kunt verwachten als je haar boos maakt."
"TID_SHAMAN_WEAPON","OPENRIJTEN"
"TID_SHAMAN_WEAPON_DESC","Nita brengt een schokgolf voort die vijanden schade toebrengt."
"TID_SHAMAN_ULTI","TEDDYBEER"
"TID_SHAMAN_ULTI_DESC","Nita roept de geest van de Grote Babybeer op om op haar vijanden te jagen."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis had grootse plannen om begrafenisondernemer en vampier te worden. Het feit dat er niemand sterft in Starr Park, heeft echter roet in het eten gegooid."
"TID_UNDERTAKER_WEAPON","RONDSCHEPPEN"
"TID_UNDERTAKER_WEAPON_DESC","Mortis sprint naar voren met een scherpe zwaai van zijn schep. Zo zorgt hij dat de zaken goed blijven gaan. Als hij alle drie sprints klaar heeft staan, kan hij na een korte vertraging verder naar voren sprinten."
"TID_UNDERTAKER_ULTI","LEVENSBLOED"
"TID_UNDERTAKER_ULTI_DESC","Mortis roept een zwerm vampiervleermuizen op die de gezondheid van vijandelijke knokkers aftappen terwijl ze de zijne herstellen. Eng hoor!"
"TID_CROW","CROW"
"TID_CROW_DESC","Crow vertrouwt niemand en is erg op zichzelf. Het enige wat men over hem weet, is dat hij vaak naar de eettent gaat en daar rondhangt met Bull en Bibi."
"TID_CROW_WEAPON","STILETTO"
"TID_CROW_WEAPON_DESC","Crow gooit een trio aan dolken. Vijanden die worden geraakt door de met gif doordrenkte lemmeten lopen geleidelijk aan schade op en zijn minder vatbaar voor genezende effecten."
"TID_CROW_ULTI","DUIKVLUCHT"
"TID_CROW_ULTI_DESC","Crow schiet de lucht in en gooit zowel bij het opstijgen als bij het landen een ring van giftige dolken om zich heen."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco gelooft dat muziek levens kan veranderen. Hij is er zo enthousiast over dat hij nooit stopt met spelen, zelfs niet als anderen dat vragen."
"TID_DEAD_MARIACHI_WEAPON","GITAARKABEL"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco stemt zijn gitarron en zendt verstijvende geluidsgolven voort. Vijanden die erdoor worden geraakt, lopen schade op."
"TID_DEAD_MARIACHI_ULTI","TOEGIFT"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco geneest zichzelf en alle vrienden die hij kan bereiken met zijn opzwepende melodie. Heeft geen effect op vijanden."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo weet het al lang uit te houden in de junglestrijd. Het indrukwekkendste hieraan is dat hij speelgoed gebruikt dat hij in de uitverkoop bij de cadeauwinkel heeft gekocht."
"TID_BOW_DUDE_WEAPON","ARENDSOGEN"
"TID_BOW_DUDE_WEAPON_DESC","Bo schiet drie exploderende pijlen die vijanden openrijten als de klauwen van een arend."
"TID_BOW_DUDE_ULTI","VOSJE VANGEN"
"TID_BOW_DUDE_ULTI_DESC","Bo verstopt exploderende vallen onder de grond. Als deze worden getriggerd door een vijand, exploderen ze na een korte pauze waardoor vijanden worden teruggeslagen en schade oplopen."
"TID_BOW_DUDE_OVERCHARGE","MIJNFESTIJN"
"TID_BOW_DUDE_OVERCHARGE_DESC","Bo zet 5 mijnen in met zijn super in plaats van 3. Deze vervangen geen mijnen die hij al geplaatst heeft met zijn super, dus het is mogelijk om meer dan 7 mijnen op de kaart te hebben!"
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Piper wil niets liever dan de plaatselijke dorpsbakker zijn die taarten, koekjes en andere zoete lekkernijen verkoopt! Vraag haar alleen niet naar haar verleden."
"TID_SNIPER_WEAPON","PARAPOEF"
"TID_SNIPER_WEAPON_DESC","Piper vuurt een scherpschot af vanuit de punt van haar parasol. Hoe verder de kogel vliegt, hoe meer schade hij toebrengt."
"TID_SNIPER_ULTI","POPPEND"
"TID_SNIPER_ULTI_DESC","Piper huppelt weg om opdringerige aanbidders te ontwijken. Ze blijft op en top een dame en laat granaten achter uit haar kousenband die op scherp staan."
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam heeft enorm veel werk te doen op de schroothoop, maar ze krijgt het altijd af! Het is alleen jammer dat dit haar weghoudt bij haar dochter Jessie..."
"TID_MINIGUN_DUDE_WEAPON","PUINSTORM"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam besproeit een groot gebied met oud ijzer. Veiligheidsbrillen verplicht!"
"TID_MINIGUN_DUDE_ULTI","MAMA'S KUS"
"TID_MINIGUN_DUDE_ULTI_DESC","Pams genezend geschut lapt haar en de teamgenoten in haar gebied op."
"TID_BONE_THROWER","Bottengooier"
"TID_BONE_THROWER_DESC","Er is niets kleins aan deze minischutter. Hij is erg handig met zijn enorme machinegeweer en kan bijna elke groep slechteriken met de grond gelijkmaken. (Verplaatsingssnelheid laag, immuun voor terugslag.)"
"TID_BONE_THROWER_WEAPON","MINIGEWEER"
"TID_BONE_THROWER_WEAPON_DESC","De minischutter hanteert dit enorme machinegeweer alsof het een klappertjespistool is. Hij kan er zelfs mee lopen terwijl het automatisch vuurt."
"TID_BONE_THROWER_ULTI","PLEISTERDISPENSER"
"TID_BONE_THROWER_ULTI_DESC","Soms loop je schrammen of vleeswonden op in een vuurgevecht. De pleisterdispenser houdt je hele team in vorm."
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","Tara heeft in de kaarten gezien dat er moeilijkheden in het verschiet liggen. Maar wanhoop niet: ze heeft een enorme selectie aan magische snuisterijen te koop om daarbij te helpen."
"TID_BLACK_HOLE_WEAPON","DRIEDUBBELE TAROT"
"TID_BLACK_HOLE_WEAPON_DESC","Tara gooit vliegensvlug drie tarotkaarten die vijanden doorboren. Knap trucje!"
"TID_BLACK_HOLE_ULTI","ZWAARTEKRACHT"
"TID_BLACK_HOLE_ULTI_DESC","Tara speelt spelletjes met de zwaartekracht. Vijanden in het hele gebied worden naar binnen gezogen en botsen hard tegen elkaar aan. Auw!"
"TID_TURRET_DAMAGE","Geschutschade"
"TID_TURRET_HEALTH","Geschutgezondheid"
"TID_STAT_DAMAGE_PER_SECOND","Schade per seconde"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Schade per seconde"
"TID_STAT_DAMAGE_PER_STRIKE","Schade per klap"
"TID_ROBOT","DEPUTY IRONS"
"TID_ROBOT_DESC","Hier om te dienen en te vernietigen."
"TID_ROBOT_WEAPON","RAKETSCHERPSCHUTTER"
"TID_ROBOT_WEAPON_DESC","Deputy Irons vuurt met mechanische precisie en vanaf een enorme afstand een exploderende raket af."
"TID_ROBOT_ULTI","CROWD CONTROL"
"TID_ROBOT_ULTI_DESC","Als er extreme maatregelen moeten worden genomen, dan laat Deputy Irons het raketten regenen op de koppige menigte."
"TID_ARMOR_STAT","Gezondheid"
"TID_HEALTH","Gezondheid"
"TID_STAT_GRENADE_DAMAGE","Schade per granaat"
"TID_STAT_MISSILE_DAMAGE","Schade per raket"
"TID_STAT_HEALTH","Levenspunten"
"TID_STAT_SPEED","Snelheid"
"TID_STAT_DAMAGE","Schade"
"TID_STAT_DAMAGE_SPECIAL_TARGETS","Schade aan speciale doelwitten"
"TID_STAT_DAMAGE_PER_SHOT","Schade per kogel"
"TID_STAT_DAMAGE_PER_SHELL","Schade per huls"
"TID_STAT_HAMMER_DAMAGE","Schade per 0,2 sec"
"TID_STAT_DAMAGE_OR_HEAL","Schade / Genezing"
"TID_HERO_INFO_MAX_BOUNCES","Maximumaantal stuiten"
"TID_HERO_INFO_HEAL_REDUCTION","Genezingsvermindering"
"TID_BATTLE","SPELEN"
"TID_QUIT","Sluiten"
"TID_MATCHMAKING_QUIT","Sluiten"
"TID_MATCHMAKING_HEADING","Zoeken naar spelers"
"TID_MATCHMAKING_HEADING_TUTORIAL","Tijd voor de showdown!"
"TID_MATCHMAKING_TIME_LABEL","Gevecht begint over:"
"TID_MATCHMAKING_PLAYERS","Gevonden spelers: <x>/<y>"
"TID_BUTTON_CANCEL","Annuleren"
"TID_BUTTON_OK","OK"
"TID_ENTER_NAME_TITLE","Wat wordt je bijnaam?"
"TID_ENTER_NAME_BODY","Gebruik niet je echte naam! Je kunt je naam later wijzigen in je profiel."
"TID_TIME_DAYS"," d"
"TID_TIME_HOURS"," u"
"TID_TIME_MINS"," m"
"TID_TIME_SECS"," s"
"TID_TIME_MONTHS","M"
"TID_MATCHMAKING_TIME","Begint over: <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","Verbonden"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","Verbinding maken"
"TID_SUPERCELL_ID_LOGIN_BUTTON","Aanmelden"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","Spelen zonder"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Wil je de voortgang van speler <NAME> met <TROPHIES> trofeeën laden? Je kunt deze laden door je aan te melden met je Supercell ID."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Fout!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","De client en de server zijn niet gesynchroniseerd."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Spel opnieuw laden"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Verbindingsfout"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Verbinding maken met server mislukt. Controleer je internetverbinding en probeer het opnieuw."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Opnieuw proberen"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Aanmelden mislukt"
"TID_ERROR_POP_UP_LOGIN_FAILED","Probeer het later opnieuw."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Opnieuw proberen"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Is daar iemand?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Klik op de onderstaande knop om het spel opnieuw te laden."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Spel opnieuw laden"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Er is een update beschikbaar!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Goed nieuws! Er is een nieuwe versie van Brawl Stars beschikbaar."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Updaten"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Onderhoudsonderbreking"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Sorry, we zijn bezig met onderhoud aan de servers. Probeer het later opnieuw."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Opnieuw proberen"
"TID_ERROR_POP_UP_BANNED_TITLE","Accountinformatie!"
"TID_ERROR_POP_UP_BANNED","Je bent tijdelijk geblokkeerd."
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Contact opnemen met ondersteuning"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Meer info"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Belangrijk bericht"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars kan gratis worden gespeeld, maar je kunt je voortgang versnellen met in-app aankopen. Je kunt deze optie uitschakelen via de instellingen van je apparaat. Tik op OK om akkoord te gaan met onze Algemene voorwaarden en ons Privacybeleid."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","OK"
"TID_SERVER_ERROR_TITLE","Serverfout <number>"
"TID_SERVER_ERROR","De verbinding werd verbroken tijdens het gevecht."
"TID_SERVER_ERROR_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Verbinding verbroken"
"TID_ERROR_POP_UP_CONNECTION_LOST","Probeer je opnieuw aan te melden."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Opnieuw aanmelden"
"TID_TROPHIES","Trofeeën"
"TID_PRACTICE","TRAINING"
"TID_READY","Klaar"
"TID_BATTLE_END_TITLE_VICTORY","GEWONNEN!"
"TID_BATTLE_END_TITLE_DEFEAT","VERLOREN"
"TID_BATTLE_END_TITLE_DRAW","Gelijkspel"
"TID_BATTLE_END_DEATHMATCH_VICTORY","Je bent 1e!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Positie: <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","Het gevecht is geëindigd in een gelijkspel omdat beide teams hetzelfde aantal edelstenen hebben verzameld."
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","UITDAGING VOLTOOID: <LEVEL>!"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","VERLOREN"
"TID_BATTLE_END_RETURN_HOME","SLUITEN"
"TID_BATTLE_END_NEXT","Volgende"
"TID_BATTLE_END_TAP","tik om verder te gaan"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","GEEN TROFEEËN NA TRAINING"
"TID_BATTLE_END_PLAY_AGAIN","OPNIEUW SPELEN"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","ANNULEREN"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> heeft zich bij je team aangesloten."
"TID_BATTLE_END_OVERWHELMING_VICTORY","EPISCHE OVERWINNING"
"TID_BATTLE_END_OVERWHELMING_VICTORY_LONG","EPISCHE OVERWINNING"
"TID_RESPAWNING","Terug over:\n<n1>"
"TID_TEAMS_POPUP_TITLE","TEAMS"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","Club- & vriendenteams"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","WORD LID VAN EEN CLUB OM HIER ACTIEVE GEVECHTEN TE ZIEN"
"TID_TEAMS_POPUP_SEARCH","MEEDOEN MET CODE"
"TID_TEAMS_POPUP_CREATE","TEAM SAMENSTELLEN"
"TID_TEAM_SEARCH_POPUP_TITLE","BIJ TEAM AANSLUITEN MET CODE"
"TID_TEAM_SEARCH_POPUP_SEARCH","MEEDOEN"
"TID_TEAM_JOIN_ROOM_CODE","Voer de teamcode in..."
"TID_TEAM_CHANGE_MAP","WIJZIGEN"
"TID_TEAM_TYPE_INFO_0","Klassement"
"TID_TEAM_TYPE_INFO_1","Vriendschappelijk"
"TID_TEAM_TYPE_INFO_2","Speciaal"
"TID_TEAM_MEMBER_LEFT_0","Je hebt het team verlaten."
"TID_TEAM_MEMBER_LEFT_1","Je bent uit het team gezet."
"TID_TEAM_MEMBER_LEFT_2","Het team is opgeheven omdat het evenement is verlopen."
"TID_TEAM_MEMBER_LEFT_3","Het team is opgeheven omdat de teamsamensteller het team heeft verlaten."
"TID_TEAM_MEMBER_LEFT_4","Toernooispel geannuleerd"
"TID_TEAM_MEMBER_LEFT_5","Toernooispel verlopen"
"TID_TEAM_MEMBER_LEFT_6","Toernooispel afgelopen"
"TID_TEAM_GAME_STARTING","Gevecht begint"
"TID_TEAM_CODE_COPIED","Code gekopieerd naar het klembord"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>UITNODIGING IN BEHANDELING</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>AFGEWEZEN</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>DOEL OFFLINE</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","tik om te annuleren"
"TID_TEAM_ERROR_1","Teamserverfout"
"TID_TEAM_ERROR_2","Je kunt je niet bij dit team aansluiten. Het team zit vol."
"TID_TEAM_ERROR_3","Je kunt je niet bij dit team aansluiten. Het team is al opgeheven."
"TID_TEAM_ERROR_5","Ongeldige teamcode. Controleer of de code correct is."
"TID_TEAM_ERROR_6","Kan geen team met deze code vinden."
"TID_TEAM_ERROR_7","Je kunt je niet bij een team aansluiten nadat je eruit bent gezet."
"TID_TEAM_ERROR_8","Controleer de instellingen van je kant. Geen van beide kanten kan meer dan 3 spelers hebben."
"TID_TEAM_ERROR_10","Je kunt geen team samenstellen. Je zit al in een team."
"TID_TEAM_ERROR_11","Je kunt geen team samenstellen. Het evenement is afgelopen."
"TID_TEAM_ERROR_12","Je kunt je niet bij een opgeheven team aansluiten."
"TID_TEAM_ERROR_14","Je kunt geen team samenstellen. Dit evenement ondersteunt geen teamspel."
"TID_TEAM_ERROR_15","Je kunt je niet bij dit team aansluiten. Het team is niet in je regio."
"TID_TEAM_ERROR_17","Kan gevecht niet beginnen. Dezelfde knokkers zijn niet toegestaan."
"TID_TEAM_ERROR_18","Kan gevecht niet beginnen. Game wordt onderbroken voor onderhoud."
"TID_TEAM_ERROR_19","Je kunt de teamsamensteller niet uit het team zetten terwijl hij/zij online is."
"TID_TEAM_ERROR_20","Kan kaart niet wijzigen. Te veel spelers voor deze kaart."
"TID_TEAM_ERROR_21","Kan gevecht niet beginnen. Niet genoeg tickets."
"TID_TEAM_ERROR_22","Kan kaart niet wijzigen. Te veel spelers."
"TID_TEAM_ERROR_24","Uitnodigen mislukt. Vriend niet gevonden."
"TID_TEAM_ERROR_25","Uitnodigen mislukt. Het team zit vol."
"TID_TEAM_ERROR_26","Uitnodiging afgewezen"
"TID_TEAM_ERROR_27","Uitnodigen mislukt. De speler accepteert op dit moment geen teamuitnodigingen."
"TID_TEAM_ERROR_28","Uitnodigen mislukt. Speler is offline."
"TID_TEAM_ERROR_29","Uitnodigen mislukt. Speler zit al in een team."
"TID_TEAM_ERROR_30","Kan gevecht niet beginnen omdat er een uitnodiging in behandeling is."
"TID_TEAM_ERROR_31","Kan evenement niet wijzigen terwijl er een uitnodiging in behandeling is."
"TID_TEAM_ERROR_32","Er zitten te veel spelers in het team voor deze spelmodus."
"TID_TEAM_ERROR_33","Deze spelmodus ondersteunt geen teamspel."
"TID_TEAM_ERROR_34","Je hebt de laatste baas al verslagen."
"TID_TEAM_ERROR_40","Teamdeelnameverzoek wordt al behandeld."
"TID_TEAM_ERROR_41","Teamdeelnameverzoek is afgewezen."
"TID_TEAM_ERROR_42","Teamdeelnameverzoek mislukt. Het team kan niet worden gevonden."
"TID_TEAM_ERROR_43","Ontvanger van teamdeelnameverzoek zit niet meer in een team."
"TID_TEAM_ERROR_44","Ontvanger van teamdeelnameverzoek is offline gegaan."
"TID_TEAM_ERROR_45","Teamdeelnameverzoek mislukt. Team is vol."
"TID_TEAM_ERROR_46","Ontvanger van teamdeelnameverzoek heeft je uitgesloten."
"TID_TEAM_ERROR_47","Deelnameverzoek mislukt. Alleen de samensteller van een vriendschappelijk gevecht kan deelnameverzoeken accepteren."
"TID_TEAM_ERROR_49","Aansluiten mislukt. Tijdens dit evenement kun je niet als team spelen."
"TID_TEAM_ERROR_60","Kan dit evenement niet voorstellen. Te veel spelers."
"TID_TEAM_ERROR_61","Kan geen wijziging van het evenement voorstellen terwijl er een uitnodiging in behandeling is."
"TID_TEAM_ERROR_62","Je kunt dit evenement niet voorstellen. Het evenement is niet beschikbaar voor alle teamleden."
"TID_TEAM_ERROR_102","Je kunt geen team samenstellen. Je hebt al een deelnameverzoek in behandeling."
"TID_TEAM_ERROR_120","Kan gevecht niet beginnen. Je kunt alleen spelen op de kaart van je huidige uitdagingslevel."
"TID_TEAM_ERROR_121","Kan gevecht niet beginnen. Geen pogingen meer over."
"TID_TEAM_ERROR_122","Deze knokker is uitgesloten van het gevecht."
"TID_TEAM_ERROR_123","Kan gevecht niet beginnen. De gekozen knokker kan dit seizoen niet worden gebruikt voor KRACHTSPEL en uitdagingen."
"TID_TEAM_ERROR_124","Kan gevecht niet beginnen. De gekozen kaart is niet goedgekeurd om op te spelen met vrienden."
"TID_TEAM_ERROR_125","Dit evenement ondersteunt geen teamspel."
"TID_SELECT_LOCATION_TITLE","KAART KIEZEN"
"TID_SELECT_LOCATION_LOCATIONS","VRIENDSCHAPPELIJK"
"TID_SELECT_LOCATION_EVENTS","KLASSEMENT"
"TID_TEAM_SEARCH_INVALID_CODE","Ongeldige teamcode. Controleer of de code correct is."
"TID_TEAM_LEAVE","VERLATEN"
"TID_TEAM_JOIN","AANSLUITEN BIJ TEAM"
"TID_TEAM_READY_BUTTON_LABEL","IK BEN KLAAR"
"TID_TEAM_CANCEL_READY","Annuleren"
"TID_TEAM_QUIT","SLUITEN"
"TID_TEAM_TEAMCODE","Teamcode"
"TID_TEAM_TEAMCODE_DESC","Je vrienden kunnen zich met deze code bij je team aansluiten."
"TID_TEAM_WAITING_FOR_PLAYER","Uitnodiging met teamcode"
"TID_TEAM_NO_MEMBER","BOT"
"TID_TEAM_NO_MEMBER_INVITE","UITNODIGEN"
"TID_TEAM_NO_MEMBER_CHOOSE_BOT","KIEZEN"
"TID_CONTEXT_MENU_CHOOSE_BOT","KIEZEN"
"TID_CONTEXT_MENU_DISABLE_SLOT","UITSCHAKELEN"
"TID_TEAM_NO_MEMBER_KNOWN_BOT","BOT"
"TID_TEAMCREATE_EVENT","Kaart"
"TID_TEAM_KICK","Eruit zetten"
"TID_TEAM_PROFILE","Profiel"
"TID_TEAM_SWAP","Van kant wisselen"
"TID_TEAM_SWAP_HERE","Wisselen"
"TID_TEAM_CREATOR_ONLY_FEATURE","Alleen beschikbaar voor teamsamensteller"
"TID_TEAM_CREATOR_ONLY_FEATURE_MODES","Alleen de teamsamensteller kan evenementen veranderen"
"TID_TEAM_PROFILE_BLOCKED","Niet zichtbaar als je klaar bent"
"TID_TEAM_FEATURE_BLOCKED_WHILE_READY","Niet beschikbaar als je klaar bent"
"TID_TEAM_PRACTISE_BUTTON_LABEL","TRAINEN"
"TID_TEAM_PRACTISE_BUTTON_SUBLABEL","met bots"
"TID_TEAM_LOOT_UNLOCKS","BELONINGEN"
"TID_BONUS_REWARD","Bonusbeloning voor 3 overwinningen:"
"TID_BONUS_REWARD_COLLECTED","Bonusbeloning opgehaald"
"TID_INFO_SERVER_ERROR_TITLE","Serverfout"
"TID_INFO_SERVER_ERROR_BUTTON","Spel opnieuw laden"
"TID_RARITY_NAME_0","Trofeeënpadbeloning"
"TID_RARITY_NAME_1","Zeldzaam"
"TID_RARITY_NAME_2","Superzeldzaam"
"TID_RARITY_NAME_3","Episch"
"TID_RARITY_NAME_4","Mythisch"
"TID_RARITY_NAME_5","Legendarisch"
"TID_RARITY_NAME_6","Ultra-legendarisch"
"TID_RARITY_COLOR_0","B9EAFF"
"TID_RARITY_COLOR_1","68FD58"
"TID_RARITY_COLOR_2","5AB3FF"
"TID_RARITY_COLOR_3","D850FF"
"TID_RARITY_COLOR_4","FE5E72"
"TID_RARITY_COLOR_5","FFF11E"
"TID_RARITY_COLOR_6","e1fb2a"
"TID_HERO_SCREEN_DIM_COLOR","164382"
"TID_RANK_UP_POPUP_TITLE","HOGERE DREMPEL!"
"TID_RANK_UP_POPUP_REWARD_BONUS","DREMPELBONUS"
"TID_RANK_UP_POPUP_RANK","DREMPEL <RANK>"
"TID_NAME_FAILED_TOO_SHORT","Naam te kort"
"TID_NAME_FAILED_PROFANITIES","Naam niet geaccepteerd"
"TID_NAME_FAILED","Naam niet geaccepteerd"
"TID_EVENT_STARTED","Nieuwe <GAMEMODE>-kaart open! Nieuwe beloningen beschikbaar!"
"TID_SELECT_HERO_INFO_1","<cFF8000>Spelers tegen spelers</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>Spelers tegen bots</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>Speel solo met bots</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>Spelers tegen spelers</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>Speel solo met bots</c>"
"TID_SELECT_HERO_INFO_FRIENDLY","<c40E0D0>Alle knokkers zijn volledig geüpgraded in vriendschappelijke gevechten.</c>"
"TID_SELECT_HERO_INFO_RANK_REWARD","Om krachtpunten te ontvangen"
"TID_SELECT_HERO_POW_INFO_TITLE","KRACHTPUNTENBELONING"
